sso_id,export_countries,export_commodity_codes
213681,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213682,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]",[]
203931,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213679,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213688,[],[]
213413,"[{'region': 'Europe', 'country_name': 'Estonia', 'country_iso2_code': 'EE'}]","[{'commodity_code': '080810', 'commodity_name': 'Apple'}]"
213694,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '871120', 'commodity_name': 'Land vehicle'}]"
213710,[],[]
213690,[],"[{'commodity_code': '090121', 'commodity_name': 'Coffee bean'}]"
213719,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213716,"[{'region': 'South Asia', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '410221', 'commodity_name': 'Leather'}]"
213720,"[{'region': 'Africa', 'country_name': 'Mauritius', 'country_iso2_code': 'MU'}]","[{'commodity_code': '040630', 'commodity_name': 'Cheese'}]"
213718,[],"[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213647,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
189233,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '220300', 'commodity_name': 'Alcoholic beer'}]"
213724,"[{'region': 'Europe', 'country_name': 'Spain', 'country_iso2_code': 'ES'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213858,[],"[{'commodity_code': '500720', 'commodity_name': 'Silk stuff'}]"
213859,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '190590', 'commodity_name': 'Cake'}]"
170583,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '081190', 'commodity_name': 'Wood ink'}]"
213686,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '860791', 'commodity_name': 'Shoe'}]"
